,brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
692532,252,Bayerische Staatsbrauerei Weihenstephan,1295153379,5.0,4.0,4.5,ms11781,Hefeweizen,4.0,4.0,Weihenstephaner Hefeweissbier,5.4,731
1572956,1478,Grand Ridge Brewing Co.,1112458398,4.0,4.0,3.5,Bitterman,English Barleywine,4.5,4.0,Grand Ridge Supershine,11.0,3902
1303776,29,Anheuser-Busch,1219181488,4.5,3.5,3.5,jongullotti,American Amber / Red Ale,4.5,4.0,Budweiser American Ale,5.3,43118
1349005,450,Yards Brewing Co.,1282847989,4.5,4.0,4.0,EricAleLove,Extra Special / Strong Bitter (ESB),4.5,4.5,Extra Special Ale (ESA),6.3,1336
1283194,335,New Holland Brewing Company,1266033570,4.5,4.0,4.0,AleWatcher,Dubbel,4.0,5.0,New Holland Brother Jacob,8.3,49483
899915,147,Stone Brewing Co.,1257892300,4.5,3.5,4.0,Blitzstyle,American Pale Ale (APA),4.0,3.5,Stone Pale Ale,5.4,87
111909,491,Coopers Brewery Limited,1169372646,4.5,2.0,3.0,rec,English Pale Ale,3.0,3.5,Coopers Original Pale Ale,4.5,2129
1457724,2681,Oskar Blues Grill & Brew,1207618871,4.5,4.5,5.0,timbro81,Russian Imperial Stout,5.0,4.5,Ten FIDY,10.5,34483
1141500,863,Russian River Brewing Company,1127770434,5.0,4.5,4.0,czechsaaz,American Wild Ale,4.5,5.0,Supplication,7.0,22227
1267541,112,North Coast Brewing Co.,1317874630,4.5,4.0,3.5,EnJeiBee,Old Ale,4.0,4.5,Old Stock Ale,11.9,1867
1317305,28,Anchor Brewing Company,1062010929,2.5,3.5,4.0,clvand0,English Barleywine,2.0,3.0,Anchor Old Foghorn,8.2,1445
459448,10729,Cervejaria Colorado,1306970555,4.0,3.5,3.5,paulozanello,Russian Imperial Stout,4.0,4.5,Colorado Ithaca,10.5,62499
1120422,141,Smuttynose Brewing Company,1094929973,4.0,4.0,4.5,NEhophead,Pumpkin Ale,4.0,3.5,Smuttynose Pumpkin Ale,6.0,11819
1503402,259,Brouwerij St. Bernardus NV,1265678934,4.0,4.5,4.0,alcstradamus,Dubbel,4.0,4.5,St. Bernardus Pater 6,6.7,1856
1533921,1534,Brouwerij Het Anker,1326165992,3.5,3.5,4.0,AdamBear,Belgian Strong Pale Ale,4.0,4.0,Lucifer,8.0,54445
115708,76,Hacker-Pschorr Bräu GmbH,1228175667,4.5,4.0,4.0,babaracas,Märzen / Oktoberfest,4.0,4.0,Hacker-Pschorr Oktoberfest-Märzen,5.8,234
235231,1628,Southampton Publick House,1170127313,3.5,3.5,4.0,hopbar,American IPA,3.5,3.5,Southampton IPA,6.5,8312
1422180,1066,Anacortes Brewery & Rockfish Grill,1258953098,4.0,4.5,3.5,RedDiamond,Winter Warmer,4.0,4.0,Noel Winter Ale,7.0,54322
874126,147,Stone Brewing Co.,1230768566,4.5,4.5,4.0,jsp2,American Double / Imperial IPA,5.0,4.5,Stone Ruination IPA,7.7,4083
1301855,29,Anheuser-Busch,1151821275,1.5,2.5,1.5,assmasterson,Light Lager,1.5,1.5,Bud Light,4.2,1320
1179432,10099,Dogfish Head Brewery,1264470259,3.5,3.0,3.5,BeerNemesis,Belgian Strong Dark Ale,3.0,4.0,Raison D'etre,8.0,1180
1497929,403,"Pyramid Breweries, Inc.",1251082388,3.5,2.5,2.0,HalfFull,American IPA,3.5,3.0,Thunderhead IPA,6.7,1544
657951,2194,Rio Salado Brewing Company,1092527568,4.0,3.0,3.5,Hunter,Fruit / Vegetable Beer,3.5,3.5,Rio Salado Summer Typhoon Cherry Weisse Ale,4.9,7430
823591,261,Cisco Brewers Inc.,1205108143,4.5,4.0,5.0,Rainintheface,Witbier,4.5,4.5,Grey Lady,4.5,40490
471108,392,Weyerbacher Brewing Co.,1243878512,4.0,3.5,4.0,Jayli,American IPA,3.5,3.5,Hops Infusion,6.2,1483
661248,3120,Alpine Beer Company,1268096477,4.5,4.0,4.5,lcollis4,American Double / Imperial IPA,4.5,5.0,Exponential Hoppiness,11.0,12068
793188,579,Kona Brewing Co.,1151772378,4.5,4.0,3.5,JayQue,American Pale Ale (APA),4.0,4.0,Fire Rock Pale Ale,5.8,5753
901282,18260,Magister Fabrica De Cervezas,1223959736,4.0,3.0,3.5,garcia2a,German Pilsener,4.0,3.5,Pilsen Rubia,5.5,45353
1010528,143,Spoetzl Brewery,1235601376,4.0,4.0,3.5,jpaltan,Schwarzbier,3.5,3.5,Bohemian Black Lager,4.9,32575
1426754,16078,The Brew Keeper,1237745424,4.5,4.5,4.0,AltBock,American IPA,3.5,4.0,RBI IPA,6.8,45008
1123792,1339,De Leyerth Brouwerijen (Urthel),1220234870,4.5,4.0,4.5,bobfraples,Tripel,4.5,4.0,Urthel Hibernus Quentum,9.0,3646
297881,35,Boston Beer Company (Samuel Adams),1251332925,4.0,4.0,4.0,mntlover,American Double / Imperial IPA,4.0,4.0,LongShot Double IPA,9.6,49016
278728,15280,Atwater Block Brewery,1302499227,3.5,3.5,4.0,gnemesis,Russian Imperial Stout,3.5,4.0,Atwater VJ Black,11.0,67951
1419746,738,Brasserie Fantôme,1229559922,4.0,4.0,4.0,beerthulhu,Saison / Farmhouse Ale,4.0,4.5,Fantôme Saison D'Erezée - Hiver,8.0,7978
1333730,26,Three Floyds Brewing Co. & Brewpub,1292297433,4.0,4.5,5.0,aasher,American Double / Imperial IPA,4.0,4.0,Apocalypse Cow,11.0,46080
1150138,2391,Cascade Brewing / Raccoon Lodge & Brewpub,1249869441,4.5,4.0,4.0,AKBelgianBeast,American Wild Ale,4.0,4.5,Cascade The Vine,8.33,47782
1562375,413,Grand Teton Brewing Co.,1223090952,4.5,3.5,3.0,russpowell,American Amber / Red Ale,4.0,3.5,Au Naturale 20th Anniversary Double Red Ale,7.5,44228
232149,158,Great Divide Brewing Company,1314481016,4.0,4.0,4.5,etaggie09,American Double / Imperial Stout,5.0,4.0,Chocolate Oak Aged Yeti,9.5,50176
579162,2210,Firestone Walker Brewing Co.,1198649820,5.0,4.5,5.0,Floydster,American Strong Ale,4.0,5.0,Firestone 11 - Anniversary Ale,11.0,39873
652892,13884,Peak Organic Brewing Company,1323906061,4.0,4.0,4.0,JMD,American Dark Wheat Ale,4.0,4.0,Winter Session Ale,5.0,63180
1391903,486,Legend Brewing Co.,1196800001,4.0,3.0,4.0,mmmbeer,American Pale Ale (APA),4.0,3.5,Pale Ale,6.4,4831
314877,35,Boston Beer Company (Samuel Adams),1276536557,4.5,3.5,4.0,Fnord,American IPA,3.5,4.0,Samuel Adams Latitude 48 IPA,6.0,57252
